13763,33579,19966,110582,5026,12913,3473,68577
53152,28716,37877,61794,11343,6238,6269,97618
85549,20190,703,6493,2165,1242,1034,25786
32389,41752,3836,191182,5804,5736,10748,159624
134263,13869,3496,13219,1688,2042,585,34255
32324,18769,5575,56576,5714,4964,3267,162718
20123,15573,53674,84897,10757,5677,5360,172419
22747,27120,29508,15730,2592,4961,5094,167821
162289,14347,6976,10124,4343,2643,640,41891
102717,7460,20215,6148,1097,1054,1139,49088
18574,14941,12340,4312,1699,387,939,47922
329221,13187,3247,3670,4140,2795,1243,41403
18850,53440,57112,13317,16084,5329,6505,186700
25188,31476,57957,40446,5793,13251,3447,208465
214106,2685,4028,5973,2246,769,384,45892
56563,7085,8577,23126,5049,4213,4327,186869
13070,39084,71319,3653,4815,4547,4066,198812
14973,23895,8429,13043,3335,5851,2707,189532
24781,6078,9792,28061,24080,10082,4211,184767
