380595,55007,25671,23823,3549,6160,2940,106861
136410,22548,75046,153360,1315,8935,4148,124833
168531,10058,49779,108044,4759,4207,5575,116029
155661,29028,14013,168482,7604,4289,1426,108684
70863,15429,2520,6524,5929,2334,4627,109730
127861,42005,6858,14383,9962,3045,5117,112773
145524,18756,2775,2605,9260,4956,3419,121398
73821,11827,2532,436,2590,3583,3802,113134
99545,6919,9648,9845,5767,11276,1461,112739
68536,7647,12966,101394,5739,7350,4749,104293
52359,13651,4373,18878,6238,4057,1653,99337
95584,2757,3669,7270,645,723,417,7082
17780,9392,2313,37961,1162,1573,781,23140
129853,42132,84544,48510,7174,9153,2854,116935
19196,5283,6839,3267,2326,1224,452,31001
76149,53946,1583,823,1127,1534,1603,21898
67484,34808,1450,9052,4004,1297,2303,107185
124311,17164,16015,3295,15854,2763,2709,101078
2069,1841,3601,1427,2041,776,439,32555
