18958,24022,9325,15106,7637,9096,1677,1800
13612,16583,10396,26525,2317,9936,7721,3755
29748,20139,19881,19966,8464,8600,2778,1051
373072,75855,14469,32869,6402,8287,2966,1601
12681,18953,533,2762,401,1298,231,237
39572,84601,8273,9822,6533,3163,1190,1162
47069,24444,3026,10057,5824,4520,1137,2590
57860,36011,11921,6118,5289,5497,2459,782
17943,5679,3273,11517,5806,3210,790,699
25312,22686,5119,11420,3611,2843,3576,3420
120531,70894,5949,10122,9079,10179,1387,1124
23433,16391,7163,7939,4118,5006,2311,1143
58848,31368,11630,22986,5650,7232,2612,1146
90462,18298,12329,13710,9643,8917,1945,1617
11100,11200,1978,5140,1674,1007,757,600
15065,10127,8319,1704,793,912,353,404
646007,25868,12462,24819,7882,2775,3960,2214
23129,7240,725,5107,1070,624,1024,555
6409,14873,5362,8624,4409,8139,2261,2480
19554,11812,7066,29758,3471,4480,2528,2550
